sort_order,avatar,name,title_1,affiliation_1,title_2,affiliation_2,region,specialty,active
1,AF,"Abigail ""Abby"" Fessler, MD",Infectious Diseases Fellow,University of Washington,,,Puget Sound,Sexually transmitted infections (STIs),yes
2,JW,"Jerrica L. Werner, MD",Infectious Diseases Fellow,University of Washington,MPH Student,University of Washington School of Public Health,Puget Sound,Global health and WASH,yes
3,BG,"Robert Geise, MD",Infectious Diseases Physician,Virginia Mason Franciscan Health,President,IDSW,Puget Sound,General ID and antimicrobial stewardship,yes
